Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_137	2.399	0.057	0.074	0.114	1.505	0.871	137	0.05	12000	1000	1	500	111	1	0	1	38	41	3	1	0.769255874673629	2357	38	3751.15081483643
Simulation_138	2.902	0.034	0.137	0.005	0.877	0.192	138	0.05	12000	1000	1	500	111	1	0	1	120	123	3	1	0.0195822454308094	60	38	4198.05843594056
Simulation_139	1.896	0.079	0.262	0.078	2.132	0.645	139	0.05	12000	1000	1	500	111	1	0	1	22	22	0	1	0.22911227154047	702	13	5706.9207141581
Simulation_140	1.644	0.045	0.105	0.06	0.564	0.758	140	0.05	12000	1000	1	500	111	1	0	1	25	25	0	1	0.491187989556136	1505	24	5978.10106744119
Simulation_141	2.65	0.091	0.231	0.133	1.819	0.305	141	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	4152.28442574645
Simulation_142	2.147	0.023	0.294	0.023	2.446	0.984	142	0.05	12000	1000	1	500	111	1	0	1	461	467	6	1	0.0806135770234987	247	214	5028.71965325359
Simulation_143	1.141	0.068	0.168	0.096	1.191	0.531	143	0.05	12000	1000	1	500	111	0	114	1	2204	2310	106	1	0.998249299719888	2851	1827	2943.43177808323
Simulation_144	1.204	0.026	0.066	0.092	1.113	0.277	144	0.05	12000	1000	1	500	111	0	71	1	3561	3756	195	1	0.00807265388496468	24	7	6041.44755848682
Simulation_145	2.21	0.071	0.192	0.019	2.368	0.729	145	0.05	12000	1000	1	500	111	1	0	1	74	75	1	1	0.490208877284595	1502	53	4650.78181094294
Simulation_146	2.713	0.048	0.254	0.128	2.995	0.503	146	0.05	12000	1000	1	500	111	1	0	1	4	4	0	0	-1	-1	-1	3027.53750576887
Simulation_147	1.707	0.093	0.129	0.055	1.74	0.956	147	0.05	12000	1000	1	500	111	1	0	1	60	61	1	1	0.913838120104439	2800	60	2007.10108606207
Simulation_148	1.959	0.037	0.223	0.11	2.681	0.843	148	0.05	12000	1000	1	500	111	1	0	1	533	551	18	1	0.164164490861619	503	126	6254.79899134498
Simulation_149	2.965	0.082	0.098	0.037	1.426	0.39	149	0.05	12000	1000	1	500	111	1	0	1	39	39	0	1	0.138054830287206	423	10	1583.99918712065
Simulation_150	2.462	0.014	0.16	0.146	0.799	0.616	150	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	3503.32865763815
Simulation_151	1.456	0.06	0.286	0.074	2.054	0.164	151	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	5680.22270301403
Simulation_152	1.33	0.054	0.113	0.028	2.211	0.107	152	0.05	12000	1000	1	500	111	1	0	1	23	23	0	0	-1	-1	-1	3429.99574657322
Simulation_153	2.336	0.099	0.239	0.101	0.956	0.56	153	0.05	12000	1000	1	500	111	1	0	1	89	89	0	1	0.997389033942559	3056	83	6086.85946986692
Simulation_154	2.839	0.031	0.176	0.064	1.583	0.333	154	0.05	12000	1000	1	500	111	1	0	1	16	17	1	0	-1	-1	-1	5657.79002892574
Simulation_155	1.833	0.076	0.05	0.137	2.838	0.786	155	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.140665796344648	431	8	2952.06413685252
Simulation_156	1.582	0.02	0.27	0.01	1.27	0.899	156	0.05	12000	1000	1	500	111	1	0	1	26	44	18	1	0.0163185378590078	50	4	5272.17162084848
Simulation_157	2.587	0.065	0.145	0.083	2.525	0.447	157	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	3420.68955067549
